tweet,length,sentiment_prediction
germany condemns attack tesla gigafactorynncalling attack form terrorism german politician dietmar woidke said obviously serious attack critical infrastructure consequence thousand people well many small large business country nnleftwing extremist vulkan group claimed responsibility attack stating wanted shut tesla nnthe power supply restored gigafactorynnsource ntv,368,negative
either dumbest ecoterrorists earth puppet good environmental goal nnstopping production electric vehicle rather fossil fuel vehicle ist extrem dumm,147,negative
biden administration would support environmentalist nnlet sink,62,negative
going,5,negative
wow bad place become,20,positive
eco terrorist hurt feeling,26,positive
thank,5,neutral
power supply restored gigafactory n fully restored production resume partly restored essential,94,negative
either organized frustrated unionist legacy auto collusion two,62,negative
thought left proev,18,negative
guess mad tesla solving renewable climate problem proving need destroy society hate society identity wrapped around needing permanent crisis else going,151,positive
could longterm consequence attack critical infrastructure germany relationship foreign investor,95,negative
time uncertainty volatility crucial safeguard critical infrastructure serf foundation societal resilience economic stability implication attack ripple far beyond immediate impact affecting countless individual business interconnected within ecosystem stayvigilant,263,negative
guy need educating realize protesting company trying transition world sustainable energy,88,negative
attack,6,positive
ever invest respected,21,negative
really condemned,16,negative
modern strategic factory run one transformer real questionfor example russia china every strategic factory must independent power line internal generator power source go,169,negative
wan na meet drone camera guy kid got skill,42,negative
militant vegan let rehab,24,negative
environmentalism sending resource third world country environment n,67,negative
obviously care environment future germany auto industry people prosecuted need discovery find behind sabotaging german industry,127,negative
purging earth people chaos effective way achieve thisnnthey deal people disagree,80,negative
antifa need banned,18,negative
antifa,6,negative
concerning nthey simply left wing,33,negative
wokeism destroying europe,25,negative
next wind farm solar panel,26,negative
lmao german end,15,negative
fake poseur activist edgy nerd trying pretend,45,negative
forgot plastic petroleum byproduct think food grows supermarket,63,negative
congo mine,10,negative
sue people one funding,22,negative
climate change myth admit,25,negative
left wing hypocrisy disease,27,negative
clearly gon na destroy entire reputation plan sure thought process,66,negative
smartest german ever met polish,31,negative
insane people get misinformation hype turn loose,48,negative
arsonist company vulcan group nnsure might extremist internally case must feel threatened success tesla europe nnare company fighting physically based ideology next stage global capitalism nnlet hope,199,negative
insane company go tesla one one truly care environmental safety,63,negative
wtf sorry hear thatthe security system work hope one got hurt must scary people working therecrazy time got even crazier predicted,130,positive
clown cement expoxyed asphalt threw paint priceless paintingsnso,64,negative
doubt funded one enemy mate,27,negative
communist,9,negative
latter suspect shot across bow,30,negative
prisoner one ideology nthey care eat rich nsome even call burning teslasn,73,negative
care climate want communism,27,negative
communist,9,negative
congressman ron johnson radical leftism climate change alarmism miserably failed response pandemic designed create state fear globalists control life must say stop,163,positive
left extremist anarchist group environmental activist group allegedly even damaged train track past,99,negative
stopping fossil fuel vehicle would actually slow inevitable collapse system want see destroyednnotoh tesla succeeds swapping infrastructure place sustainable version worstcase scenario since perpetuates capitalist system,220,negative
terrorist nothing form protest,30,negative
destroying art namen,20,negative
judge rule rep greene lawsuit nancy pelosi nn,45,negative
bad damage quickly factory back running,39,positive
need revisit principle concerned sustainable future,51,negative
probably want car surveillancing city,37,negative
e ist extrem dumm,17,negative
seems like misguided strategy target electric vehicle production instead focusing reducing fossil fuel vehicle emission major contributor environmental issue,157,negative
ev battery green yet,20,negative
would like see europe west fall behind zero sum game probably pretty happy,74,neutral
probably paid,13,negative
make sad this horrifying,23,positive
probably funded german legacy auto oil gas industry behind scene,64,negative
glad german nso many thing go wrong herenntrue clownfiesta,58,negative
v12 release expanded next batch please,38,negative
paid activist,13,negative
probably paid,13,negative
look overall co2 emission time car manufactured,47,negative
say puppet correct,18,negative
burning gasoline fume cause kind issue,38,negative
bad ndoesn make sense,21,positive
tsla,4,negative
serious personal beef,21,positive
elon putting hit gas powered,28,negative
yup extremely,13,negative
like defacing artwork bad way protesting,40,positive
certainly become easy recruit people germanynnfirst normal backlash competition really weird medium discussion around water usage went full let russia want ukraine bend,168,negative
gone czechia instead,20,negative
follow money probably funded german auto manufacture,52,negative
socialism rise germany fight everything matter,46,negative
sound like inspired vitriol,27,neutral
tesla supporter grnheide actively trying resolve conflict quite good suggestion let u continue work exciting future grnheide,124,neutral
law law enforced anymore crime matter anymore,45,positive
concept brilliant roadway human bollard climate pirate,54,negative
would anyone something like,27,negative
germany really likeable,23,negative
make make sense,15,negative
eh dude foot grounda lot people aint fan california depends area town like people lot tesla maybe vehicle go surrounding town thhat number drop maybe im even trying troll lot people blame tesla ongoing energy chrisis shut san onofre booby didnt help high cost electricity know kinda sensless live rural north county san diego lot people also blame tesla accelerating green trend ill work people blaming elon musk stroke weed wackers becoming illegal mostly though people blame phasing older gas vehicle california dont know definitely accelerated timeline also friend trucker fan environmentalist maybe showed footage mine battery sustainably sourced recyclable people would le stone throw oh also people europe getting tired surveillance state everyone pretty sure electric vehicle tey able limit freedumb especially something like social credit score ever adopted sometimes road plaid good intention,901,positive
glad outage presumably affected vote referendum factory expansion,65,neutral
welcome best germany ever,25,neutral
look putting solar factory roof megapacks site probably paid hedge fund short tesla get position,96,negative
invite personal talk tour educate maybe change mind,51,negative
think match could,17,negative
environment group much funded infiltrated oil money,51,negative
appears think,13,negative
guess find single logical argument stopping environmental movement production sound environmental product thus find logical sound individual group would stop,157,negative
sound like environmentally friendly people nnthat form activism offer education ecosystem service biodiversity sustainability nnit nuisance nndeters away science present data fact mitigation towards research development,219,negative
eco revenge via explosive say like using one spoon turbine alternative hydropower plant,87,negative
come italy elon nwe love well,29,neutral
extrem reicher typ gibt extrem viel aufmerksamkeit und extrem hohe reichweite,77,negative
would mega pack ton solar kept giga berlin running,50,negative
like esg actually care environment care much suppressing think way,66,negative
germany wear corruption like badge look mobile phone cost almost corrupt canada,79,negative
unreal,6,negative
take care,9,negative
de true,7,neutral
unrealistic,11,negative
thats cool kind attack,22,neutral
got really angry tho,20,negative
absolutely agree elon,21,negative
look like elon,14,negative
token,5,negative
wirklichkeit sind e antikapitalisten die jede form von wohlstand ablehnen und nur umverteilen wollen,100,negative
absolutely,10,negative
yesnyou replied mario,21,negative
believe attack saying rather tesla n npeople afraid powerful people tell truth may contradict worldview,103,negative
agreed,6,negative
height stupidity,16,negative
elon musk worked hard point development today,45,positive
elon hundred million follower president many country,52,negative
exactly like parody,19,negative
louder,6,negative
unfortunate action intended promote environmental cause end counterproductive effect targeting electric vehicle production seems contradictory environmental goal essential advocate strategy effectively reduce carbon emission promote sustainable practice alignment broader environmental objective,295,negative
true,4,neutral
right,5,negative
right,5,negative
right,5,negative
targeting production electric vehicle instead fossil fuel vehicle seems counterproductive advancing environmental goal important activist policymakers focus strategy effectively reduce carbon emission promote sustainable transportation alternative,247,negative
rightly said,12,negative
rightly said,12,negative
rightly said,12,negative
paid paid disrupt progress,26,negative
think time green laser perimeter safe zone implemented throw switch,67,negative
targeting tesla leader electric vehicle ecoterrorism beyond misguided ironic considering automotive manufacturer germany controversial past ahem think probably,159,negative
german say hurenshne,20,negative
jeez,4,negative
make make sense,15,negative
hope behind case hostility tesla medium politics must stopped germany,69,negative
v12 clan,8,negative
would posit even environmental claim smokescreen,48,negative
volle solidaritt mit tesla,26,negative
probably paid disrupt,21,negative
tsla buy order submitted,24,negative
attended spent good hour touring factory yes geek speaking many local people albeit poor german english possible loved tesla maybe tesla refused negative people attending sure would know maybe tiny minority actually negative factory fact remains tree planted around factory planted cut tell planted neat row extremely close one another force grow tall quickly make ideal making thing fromnnif petrol chemical factory new bmw factory petrol car understand factory producing electric car charged sun wind power infinitely better environment petrol diesel car nnoh tesla planting 3x number tree albeit mile away,608,negative
truly sorry something like happen germany nntruly sad,53,positive
elon e war etwas naiv von euch berhaupt deutschland zu investierenda sind leute die jahre fr ein flughafen bentigen weil die alles verhindern wollendenkt daran da fabrik umzuziehen polen italien spanien,202,negative
leave grnheide come poland open ready dont go long way workersknowhow already lot pole working grnheide able protect infrastructure,131,negative
could built tesla factory poland,32,negative
time add solar storage make factory resilient event future grid outage,70,negative
agreement actual far left action oppose progressive strawmanboogeyman left wing portrayed right winger,102,negative
almost think actual purpose degrowth environmental claptrap fig leaf,68,negative
yeap bumbest thing destroying thing unnecessarily,49,negative
upset time elon,15,positive
think attacking elon personally hater,37,negative
basically,9,negative
plus potential jealousy billion,31,negative
absolutely,10,negative
see bulgaria help recycle cable metal let access pretty cool want renovate free deconstruction haul away service night everyone asleep one inconvenienced,153,neutral
take tesla private,18,negative
absolutely disagreed,20,negative
new attempt harm elon financially,33,negative
good look ze german,19,neutral
hmit might nothing protesting ev energy per sebut rather trying financially hurt shareholder,92,negative
let revolution begin,20,negative
sound like berlin need megapacks,32,negative
ridculo ainda bem que j foram identificados que sejam presos e obrigados pagar o custos do reparos,98,negative
bet car manufacturer like audi vw behind,40,negative
human perceive value fragile,28,negative
work someone,12,negative
safe everybody,14,neutral
still understand tesla chosen berlin car factory city strange artist,68,negative
example horrible humanity continue evil race better nni thankful x introducing wonderful people,95,negative
ist extrem dumm ist extrem dummnist extrem dumm ist extrem dummnist extrem dumm ist extrem dummnist extrem dumm ist extrem dummnist extrem dumm ist extrem dummnist extrem dumm ist extrem dummnist extrem dumm ist extrem dummnist extrem dumm ist extrem dummnist extrem dumm ist extrem dummnist extrem dumm ist extrem dummnist extrem dumm ist extrem dummnist extrem dumm ist extrem dumm,383,negative
would ask german politician whether still interested tesla employer region moment interested alleged rightwing extremism leftwing extremist,139,negative
paid fossil fuel lobby disrupt takeover option,46,negative
also benefit short seller think coincidence terrorism continues tsla,68,negative
maybe could happy get grilled could easily ended worse playing high voltage,75,negative
right,5,negative
congratulation phenomenal,25,neutral
true get,8,neutral
would never entrap people need money would,42,negative
new tesla model produced hw4 berlin n also chance model berlin get upgrade one shangai year nn hw4 would important thxnni waiting hw4 yearn nnagy imrenhungaryn hw4 tesla,169,negative
know,4,negative
agreed eco protester help get even government public support tesla nobody like extremist,88,negative
else ecoterrorists thing afraid bingo card,42,positive
elon plan overcome lithium battery situation long term,54,negative
vandalism tesla owner happening daily basis horrible neighborhood week ago someone going various tesla car keying week long period ridiculous stuff happens,155,negative
happens german become engineer,30,negative
see eco activist day,20,negative
tesla believer fight,20,negative
ecoactivists,12,negative
likely,6,negative
one want live tiny trailer home working hard day,48,negative
time power factory solar wind megapacks,39,negative
optimus protection around perimeter soon,40,negative
die sind dumm und gewissenlos hauptsache alles zerstren fr eine schande sorry,77,positive
stop environment start power,28,negative
deep green ideology industrial society particular technology ted kaczynski unibomber derrick jensen prominent proponent,119,negative
probably funded german oems,27,negative
believe environment motivationtime add megapacks,48,negative
environment political,21,negative
get electric much want,22,negative
